Position,Rating,Review Title,Role,Pros,Cons
955,5,Ubisoft Kyiv / Junior QA,Junior qa engineer,The company hires without actual experience. QA courses are just enough.,After approximately 1 year there is no possibility of growing up professionally. Every day does the same thing.
956,4,Good!,Senior animator,"Big R&D team and many tech support The engines are a bit rusty, but the pipeline is still more than average Many social events, privileges The fact the company keeps releasing games constantly, which is actually very important",There is some rigidity in the team structure Many worker vacancies due to the large size of each project Low percentile of contribution per project by each worker
957,5,Fantastic Company - Huge on flexible and work life balance,Manager,Great people Really focus on well-being and work-life balance Cares for their people Great Culture and environment,Learning and Development need to be so much better
958,5,Accelllent culture,Talent acquisition manager,Friendly team friendly culture. Strong team spirit,Salary is a bit low
959,3,fine but,Gameplay programmer,"no crunch, good job security.","no bonus, low salary increase and pay below average."
960,5,Good,Senior network administrator,"Great work environment, great people",Nothing to complain about it
961,3,Dysfunctional operation,Concept artist,It's a great place to get your foot in the door.,Lots of politics. Too many projects with no vision at all. Low salaries.
962,5,good,Analyst,good work life balance and understanding leadership,not many cons to mention
963,5,Good place,Tools support specialist,"Friendly people, helpful and great company parties",No cons at the moment
964,3,average,3d programmer,Supportive Job security Growth Freedom Respect,Low pay Overwork Crunch times
965,5,Ubisoft Kyiv / Junior QA,Junior qa engineer,The company hires without actual experience. QA courses are just enough.,After approximately 1 year there is no possibility of growing up professionally. Every day does the same thing.
966,4,Good!,Senior animator,"Big R&D team and many tech support The engines are a bit rusty, but the pipeline is still more than average Many social events, privileges The fact the company keeps releasing games constantly, which is actually very important",There is some rigidity in the team structure Many worker vacancies due to the large size of each project Low percentile of contribution per project by each worker
967,5,Fantastic Company - Huge on flexible and work life balance,Manager,Great people Really focus on well-being and work-life balance Cares for their people Great Culture and environment,Learning and Development need to be so much better
968,5,Accelllent culture,Talent acquisition manager,Friendly team friendly culture. Strong team spirit,Salary is a bit low
969,3,fine but,Gameplay programmer,"no crunch, good job security.","no bonus, low salary increase and pay below average."
970,5,Good,Senior network administrator,"Great work environment, great people",Nothing to complain about it
971,4,Good company for the beginning of your career,Motion graphics artist,- good work-life balance - nice colleagues - creative freedom - inclusive environment,- slow career growth - low flexibility in terms of work arrangements
972,2,Une entreprise qui va mal,Data scientist,"Ambiance de travail, bcp d'activités proposées, des formations intéressantes","- pression sur les employés, pas de perspective d'évolution, faible salaire (et pas d'évolution malgré l'inflation), ambiance toxique - un management complétement à côté de la plaque"
