Position,Rating,Review Title,Role,Pros,Cons
921,3,Good company but slow career,Solutions architect,"Good campus, good food, free games to play.","Slow career advancement, No stock options, average benefits"
922,4,Great company,Manager,Cares for employees Great culture Fun office environment Subsidised cafe and coffee bar Gym onsite,Limited development opportunities through lack of clear structure
923,3,"Fun, decent company",Anonymous employee,Great people. Fun product in Playstation that is winning in the market,Process can slow down feature development
924,4,Senior Manager,Anonymous employee,"Fun place to work Great benefits, great pay, great perks Work keeps you challenged",Difficult to get support with training/educational support Targets matter more than realistic market conditions
925,2,Ok,Animator,In London so near a lot of other work.,Not enough work. Slow pace. Make regular redundancies so you see your friends leave a lot.
926,4,Great experience for short/medium term,Anonymous employee,Leading company in dynamic sector,"Difficult to evolve in the business, a lot of pressure and long work days with global teams"
927,4,One of the best place with good work life balance,Qa manager,One of the best place with good work life balance,"No Stock options, bonus depends on company performance"
928,4,Good work life balance,Tpm,Good works life balance and invest in their staff,Lack or direction and do not deal well with poor performers
929,5,Great place for game careers,Anonymous employee,"Great people, great overtime pay, great perks",WFH policies are not the best but that is understandable
930,4,Great company to work for,Head of communications,"Great team Creative environment Great products Work hard, play hard culture Great MD",Sometimes hard to navigate the global politics V male environment
931,4,Great place to work,Anonymous employee,Nice people and fun industry,Some folks shipped from Japan don't know what they are doing.
932,3,It’s good,Animator,The benefits are the best and it’s a safe and fun environment to work in,Hours are kinda long but not to bad
933,4,"Fun, energetic company",Department assistant,Loads of employee activities. Gym & restaurant on new campus.,No career advancement. Not much telecommuting allowed.
934,4,Manager,Anonymous employee,Long standing talented employees add a level of stability.,Some in senior mgmt. could listen to new employees better to ensure they maintain best in class.
935,4,Great stepping stone,Anonymous employee,"Great environment, casual dress, flexible and across everything.",Lacks career development and hard to get global transfers. Standard pay but due to great lifestyle.
936,5,attorney,Attorney,friendly and nice place to work,"too much cake and other food, nice perk but got to watch the waist"
937,5,Staff Hardware Engineer R & D,Staff hardware engineer,Probably the best company I've worked for in the last 20 years.,Things move a bit slow for my liking.
938,3,Great company to work but takes time to make decisions,Bi developer,"Good work culture
perks (free giveaways, bonus, insurance)","Slow moving
No stock plans
Not like bay area culture"
